Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,num_units,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type
DE1_solar_photovoltaic_1,1,0,1,200.8,DE1,Solar Photovoltaic,1,15.45,0.0,8.84,0,13.0,0.001,0.169,15.446,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2081536847108487,Solar,0.0,Solar
IL1_onshore_wind_turbine_1,2,0,1,1977.0,IL1,Onshore Wind Turbine,1,133.94,19.683,8.84,0,18.0,0.0,0.237,133.939,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4078875636293955,Wind,0.0,Wind
IL1_solar_photovoltaic_1,2,0,1,870.4,IL1,Solar Photovoltaic,1,10.49,0.001,8.84,0,83.0,0.001,0.15,10.487,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2428072660930557,Solar,0.0,Solar
ISONE_offshore_wind_turbine_1,3,0,1,829.3,ISONE,Offshore Wind Turbine,1,414.65,0.05,8.84,0,2.0,0.0,0.357,414.65,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wind,0.05,Wind
ISONE_onshore_wind_turbine_1,3,0,1,1236.0,ISONE,Onshore Wind Turbine,1,20.94,0.749,8.84,0,72.0,0.032,0.271,20.94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166440139354931,Wind,0.0,Wind
ISONE_solar_photovoltaic_1,3,0,1,2449.1,ISONE,Solar Photovoltaic,1,3.53,0.01,8.85,0,693.0,0.022,0.147,3.534,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2344416311588765,Solar,0.0,Solar
KY3_solar_photovoltaic_1,4,0,1,179.1,KY3,Solar Photovoltaic,1,17.91,0.67,8.84,0,10.0,0.0,4.74,17.91,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2510500358128369,Solar,0.0,Solar
MD1_onshore_wind_turbine_1,6,0,1,156.0,MD1,Onshore Wind Turbine,1,38.0,0.28,8.84,0,5.0,0.0,0.323,38.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4650407165173206,Wind,0.0,Wind
MD1_solar_photovoltaic_1,6,0,1,92.5,MD1,Solar Photovoltaic,1,5.14,0.0,8.84,0,18.0,0.0,0.172,5.139,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2325831257725002,Solar,0.0,Solar
MD2_solar_photovoltaic_1,7,0,1,410.9,MD2,Solar Photovoltaic,1,4.03,0.0,8.84,0,102.0,0.001,0.18,4.028,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2144708342231489,Solar,0.0,Solar
MI_onshore_wind_turbine_1,8,0,1,2825.0,MI,Onshore Wind Turbine,1,93.13,1.924,8.84,0,37.0,0.0,0.316,93.127,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4048652795425255,Wind,0.0,Wind
MI_solar_photovoltaic_1,8,0,1,724.0,MI,Solar Photovoltaic,1,16.84,0.0,8.84,0,43.0,0.001,0.138,16.837,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382946635186735,Solar,0.0,Solar
MISC_onshore_wind_turbine_1,9,0,1,18474.0,MISC,Onshore Wind Turbine,1,98.81,4.658,8.84,0,228.0,0.001,0.321,98.814,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4343280992777134,Wind,0.0,Wind
MISC_solar_photovoltaic_1,9,0,1,4329.2,MISC,Solar Photovoltaic,1,18.9,0.018,8.84,0,229.0,0.001,2.766,18.905,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236037631706168,Solar,0.0,Solar
NJ1_onshore_wind_turbine_1,10,0,1,6.0,NJ1,Onshore Wind Turbine,1,7.5,0.0,8.84,0,1.0,0.0,0.314,7.5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4082812622309197,Wind,0.0,Wind
NJ1_solar_photovoltaic_1,10,0,1,919.3,NJ1,Solar Photovoltaic,1,3.59,0.03,8.84,0,256.0,0.001,0.193,3.591,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2156015027938773,Solar,0.0,Solar
NY1_onshore_wind_turbine_1,11,0,1,2336.0,NY1,Onshore Wind Turbine,1,81.39,1.069,8.84,0,35.0,0.0,0.249,81.386,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4282651088676558,Wind,0.0,Wind
NY1_solar_photovoltaic_1,11,0,1,3186.8,NY1,Solar Photovoltaic,1,9.1,0.165,8.84,0,350.0,0.003,0.12,9.105,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153036417855341,Solar,0.0,Solar
