Region_description,Network_zones,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11
DE1,z1,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0
IL1,z2,0.0,0.0,0.349,0.0,0.0,0.0,0.0,0.349,0.0,0.0,0
ISONE,z3,0.0,0.0,0.0,0.0,0.448,0.0,0.0,0.0,0.0,0.47,0
KY3,z4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KY4,z5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MD1,z6,0.0,0.0,0.552,0.0,0.0,0.0,0.0,0.552,0.0,0.0,0
MD2,z7,0.0,0.0,0.552,0.0,0.0,0.0,0.0,0.552,0.0,0.0,0
MI,z8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MISC,z9,0.089,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0
NJ1,z10,0.0,0.0,0.534,0.0,0.0,0.0,0.0,0.425,0.0,0.0,0.425
NY1,z11,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0
NY2,z12,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0
OH1,z13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OH2,z14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OH3,z15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OH4,z16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PA1,z17,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0
PA2,z18,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0
PA3,z19,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0
PA4,z20,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0
SERC,z21,0.0,0.012,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0
VA1,z22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0
VA2,z23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0
VA3,z24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0
VA4,z25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0
WV1,z26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WV2,z27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
