Region_description,Network_zones,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10
DE1,z1,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.29,0.0,0.0
IL1,z2,0.0,0.0,0.376,0.0,0.0,0.0,0.0,0.484,0.0,0.0
ISONE,z3,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.578
KY3,z4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY4,z5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD1,z6,0.0,0.0,0.571,0.0,0.0,0.0,0.0,0.571,0.0,0.0
MD2,z7,0.0,0.0,0.571,0.0,0.0,0.0,0.0,0.571,0.0,0.0
MI,z8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISC,z9,0.093,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0
NJ1,z10,0.0,0.0,0.512,0.0,0.0,0.0,0.0,1,0.0,0.0
NY1,z11,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0
NY2,z12,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0
OH1,z13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH2,z14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH3,z15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH4,z16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA1,z17,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
PA2,z18,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
PA3,z19,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
PA4,z20,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
SERC,z21,0.0,0.011,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0
VA1,z22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
VA2,z23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
VA3,z24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
VA4,z25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
WV1,z26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV2,z27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
